Meanings,English Definition,POS,J Translation
repertoire,a collection of skills or accomplishments.,n,レパートリー
obtain,To be given or to earn something through efforts,verb,得る
distribution,- in statistics: an arrangement of values showing frequency of occurrence - in engineering: the way in which the fuel-air mixture is supplied to each cylinder of an engine - in commerce: delivery of products or services.,n,配布；分布；流通
parameter,"a characteristic or constant factor, a limit.",n,パラメーター
aspect,"an element, feature, or quality of something",n,面；様相
dynamic,always active or changing; in physics: a force related to motion,adj,動的な; 活動的な
impact,a striking effect or result to hit with force,n,影響，影響を与える
domain,"a field of action, thought or influence; an area of knowledge",n,領域；ドメイン
publish,"to prepare a book, journal, magazine and make it available",verb,出版する；発表する
denote,be a name or symbol for,verb,示す
authority,"people in positions of power, able to decide things",n,権力者； 権限者
semantic,the different meanings of words,adj,意味の
par,the usual amount,n,等価；平均；額面価格
ion,a charged atom,n,イオン
matrix,"a substance, situation, or environment in which something has its origin - in math: an arrangement of numbers in rows and columns",n,マトリックス；基質
linear,made of lines,adj,線形の
cognitive,the process of knowing and remembering,adj,認知の
graph,image expressing numerical data in lines or shapes,n,図表；グラフ
correlation,a measure of the relationship between two variables,n,相互関係
linguistic,belonging to language,adj,言語の
acid,sour substance that reacts with metals e.g. lemon,n,酸
induce,"to cause, to persuade",verb,誘発する
velocity,speed in a given direction,n,速度
interval,"the distance between two points, numbers or times",n,間隔；区間
discourse,"talk, conversation",n,談話
finite,having limits; lasting for a limited time,adj,有限の
stimulus,something that makes a change.,n pl.,刺激
vector,a quantity that has both size and direction.,n,ベクトル
electron,a negatively charged particle,n,電子
receptor,a device that receives information; in physiology: a nerve ending that changes stimuli into impulses,n,受容体
theorem,a statement that can be proved,n,定理
algorithm,a step-by-step problem-solving feature,n,アルゴリズム
fluid,a material that can easily flow. e.g. water,adj,流体（名）、 流動的な（形）
developmental,concerning the development or growth,adj,発達上の
bound,to go to a specified place; to jump,verb,縛られた
molecular,about or caused by molecules,adj,分子の
transformation,a complete change in shape or form of something,n,変換
spatial,about space,adj,空間的な
coefficient,a number multiplied by a variable in an algebraic expression.,adj,係数
translation,changing from one form to another. e.g. changing from one language to another,n,翻訳
membrane,a thin covering of tissue.,n,膜
neuron,a nerve cell; the basic building block of the nervous system.,n,ニューロン
simulation,a copy; a method that is used to study and analyze the characteristics of the real world,n,シミュレーション
lexical,about words,adj,語彙の
regime,a system of management; a form of government,n,政権；体制
variance,(statistics) amount of difference in distributions,n,分散
molecule,two or more atoms chemically combined,n,分子
marker,something that is easy to recognize or identify,n,標識；マーカー 
empirical,based on observation or experiment,adj,実証的な；経験による
robot,a mechanical creature that acts like a human,n,ロボット
statistical,about statistics,adj,統計的
vowel,"a speech sound; a, e , i, o, u and sometimes y",n,母音
equilibrium,a state of balance,n,平衡
intensity,"great energy, strength, or concentration",n,激しさ；強度
regression,going back; in statistics: a type of correlational procedure that focuses on predicting the values of an outcome based on its correlation with another variable.,n,退行
diagnosis,a judgment by a doctor about a person’s illness,n pl.,診断
identification,(card or paper) that proves who a person is,n,確認；識別；身分証明書
node,an intersection or junction point in a network; a part on a plant where a new leaf grows,n,こぶ；結節
candidate,a person who is selected by others as a contestant for an office or honor,n,候補者
partial,not complete; being only part of something,adj,部分的な；不公平な
correlate,to show the relationship between two items or events.,verb,相関がある
mortality,the quality or state of being human and being able to die,n,死亡率
antibody,a defense provided by the body against disease,n,抗体
temporal,concerning time,adj,一時的な
particle,a very small piece of something,n,粒子
duration,the length of time that something lasts,n,持続；継続期間
behavioral,concerning the way people act,adj,行動の
consumption,how much is spent on things; the process of eating and drinking,n,消費
bilingual,being able to speak two languages well,adj,バイリンガル
sensitivity,being sensitive; in physiology: the ability of an organism or part of an organism to react to stimuli; in electronics: the ability of a radio device to react to incoming signals,n,感受性；感度
similarity,the degree to which people or things are the same,n,類似
optimal,best,adj,最適な
explicit,definite; clearly stated; specific,adj,明示的な
mutation,a change; in genetics: any event that changes genetic structure,n,突然変異
colonial,of a system where one country controls another,adj,植民地の
phonological,concerning sound,adj,音韻的な
spectrum,the wavelengths of colors from red to violet,n,スペクトル
nucleus,control center of a cell,n pl.,核
onset,the beginning,n,開始
integration,act of bringing things together into a whole,n,統合
dominant,strongest,adj,支配的な
pathway,a path or way that you can walk,n,経路
coordinate,to bring order and organization to something; in maths: any of the magnitudes that serve to define the position of a point or line by reference to a fixed figure or system of lines.,verb,調整する； まとめる
calculation,process or result of using mathematics,n,計算
precede,to go before,verb,先行する
subset,a small set which is part of a larger set,n,少派
syntactic,grammatical,adj,構文
orientation,"the ability to locate oneself in your environment with reference to time, place, and people",n,適応；オリエンテーション；方向性；位置
proposition,an idea; a suggestion,n,提案；命題
inequality,situation where things are not equal/fair,n,不平等
identical,the same in every way,adj,同一の
prevalence,"widespread, common, general",n,流行
differential,difference; diversity,adj,区別を示す
generalize,To apply a particular idea to a large group,verb,一般化する
beam,a long piece of metal or wood; a line of light or energy,n,梁（はり）；光線；ビーム
pulse,beat of the heart,n,脈拍
norm,an established standard of performance or behavior,n,規範；基準
trait,a characteristic,n,特徴
prediction,a statement of what will happen next.,n,予測
correspondence,"Communication by letters, emails or text messages",n,文通； 通信
essentially,"basically, primarily",adv,本質的に
syllable,a unit of speech,n,音節
chromosome,cell structures that carry the genetic material that is copied and passed to the next generation.,n,染色体
infect,to give someone a disease,verb,感染する
magnetic,"having the properties of a magnet, being able to attract.",adj,磁気の
configuration,a shape or outline; a method of arrangement,n,形状
numerical,includes numbers,adj,数値
namely,"that is to say, specifically",adv,すなわち；つまり
intermediate,between,adj,中級の；中間の
transmission,an electronic signal that has been sent by radio waves; a force that has been transferred from one machine to another,n,伝送；通信
dose,an amount of medicine to be taken at any one time,n,服用量
occurrence,specific instance of something happening,n,発生；出来事
maternal,having to do with being a mother,adj,母性の
axis,"a line about which a rotating body, such as the earth, turns.",n,軸
rational,sensible; based on facts,adj,合理的な
locus,a place or location; in genetics: the location of a gene on a chromosome,n,軌跡
elite,important people of high status,n,エリート、上流階級、幹部
approximation,"something that is similar, but not an exact copy",n,近似
thesis,a long essay; a position taken in an argument supported by a set of reasons,n,論文；命題
sin,a bad act; to do something bad,n,罪
classification,putting similar items into groups or sets,n,分類
threshold,a level or point at which something would start or stop happening.,n,しきい値
syndrome,a group of signs and symptoms that accompany a disease,n,症候群
comparative,expressing a difference in degree,adj,比較の
activate,To make something start working,verb,始動する
adolescent,Teenager developing into an adult,n,青春期の若者
vocabulary,the words that a person knows,n,語彙
encode,to change a message or information into code,verb,暗号化する
utterance,something that is said,n,発話
facilitate,To make an action or process easier,verb,促進する
incidence,the rate that something happens,n,発生率
induction,"bringing about, or causing",n,誘導
trajectory,the path followed by an object moving through space,n,弾道
manuscript,"a document, a piece of writing",n,原稿
commonly,"typically, normally; not unusually",adv,一般に
grammatical,concerning grammatical rules,adj,文法の
accuracy,being exactly right; correctness,n,正確さ
adaptation,changing to a new form; thing that is changed,n,適応
amplitude,"the breadth, width or largeness of something",n,振幅
cortex,the outer part of an organ or structure,n,皮質
minimal,the smallest possible,adj,最小の
systematic,"done in a thorough, logical or planned way",adj,体系的な；組織的な
horizontal,flat or level,adj,水平の
projection,an image on a screen,n,投影；投射
synthesis,building something complex from simple parts,n pl.,合成
diameter,the distance across the center of an object,n,直径
cone,a 3D shape with a circular base; a part of the eye,n,円錐
dependence,relying on someone for (financial) support,n,依存
organism,"living thing, often one that is small",n,生命体
emergence,the process of emerging/coming out,n,出現
overlap,To lie over or cover a part of something else,verb,重複，重なる
substitution,a person or thing acting or serving in place of another; to put (a person or thing) in the place of another.,n,代用；置換
explicitly,clearly; specifically,adv,明示的に
evident,"plain, clear",adj,明らかな
conceptual,characterized by concepts or the forming of concepts,adj,概念の
detection,the act of discovering something or solving a crime,n,発見；検出
interact,"an action that is answered by a reaction, verbal or physical",verb,相互に作用する
neural,about the nerves or nervous system,adj,神経の
chronic,over a long time; serious,adj,慢性的な
integral,part of something,adj,不可欠な
enzyme,a protein made by cells,n,酵素
conference,a meeting or series of meetings for discussion and exchange of information,n,会議
conception,an idea or notion; the first stage in pregnancy,n,概念
ex,"a prefix meaning ""out of,"" ""from,"" or ""not""",prefix,元
ideology,ideas or beliefs which form theory and policy,n,イデオロギー
sperm,male sex cell,n,精子
quantitative,the describing or measuring of quantity.,adj,量的な
sphere,a round 3D object. e.g. a ball,n,球体；天体
instability,not stable; changeable,n,不安定
mediate,"to bring about an agreement between persons or groups, act as a helper",verb,仲介する
specification,a detailed description of the design and materials used to make something.,n,仕様
classify,To arrange things into groups of similar items,verb,分類する
physician,a medical doctor,n,医師
computation,the act of calculating; method of computing,n,計算
oral,by mouth,adj,口頭の
mid,at (or near) the middle point,adj,中央の
indicator,"an instrument that shows conditions in a machine, such as temperature, speed, pressure; in chemistry: a compound that changes color in the presence of an acid or a base",n,測定器；指針
variant,thing that differs from something of the same kind,n,変異
evolutionary,concerning evolution,adj,進化の
feedback,a response to a message; information about a person's behavior,n,フィードバック
collective,formed by working together as a group,adj,収集された； 集団の
arbitrary,unsupported,adj,任意の; 気ままな
fraction,a part of a whole,n,一部；少量；分数
estimation,judgment; opinion; guess at the value of,n,推定
nonlinear,not in a line,adj,非線形の
compact,packed together; closely united; small,adj,小型の，圧縮する
deviation,"not standard or normal; in statistics: the difference between one of a set of values and some fixed value, usually the mean of the set.",n,逸脱；偏差
diagram,a drawing intended to explain how something works,n,図
tropical,hot and humid; near to the equator,adj,熱帯の
morphology,"the study of the forms and structures of plants, animals and words",n,形態
thereby,by that means; because of that,adv,それによって
syntax,"the study of a system, such as the system of words in a sentence",n,構文
defect,a problem; a fault,n,欠陥
separation,a line that seperates; a point of parting; a gap,n,分離
convergence,coming together,n,収束
sufficiently,to a degree great enough to do something,adv,十分に
valid,sound; just; well-founded,adj,正当な；有効な
interface,a shared boundary between two persons or systems through which information is communicated.,n,接点
radiation,"energy that is radiated or transmitted in the form of rays, waves or particles.",n,放射線
embed,"to place or set inside rock, etc",verb,埋め込む
vertical,a line going up/down; not horizontal,adj,垂直の
acute,strong; very serious or severe,adj,鋭い；深刻な；急性の
utility,"being useful; a public service such as gas, water, or electricity that is used by everyone",n,実用性；公益事業
complement,something needed to complete or make perfect,n,補足， 補足する； 完全にする
leaf,the green part of a tree or plant,n,葉
verbal,"using speech, rather than being written",adj,言葉による
aggregate,a sum total amount of something,n,(...の)総計
equality,the idea that all people have the same rights,n,平等
corpus,a body; in linguistics: a body of words,n pl.,集成；コーパス；体
organ,large wind instrument similar to a piano,n,オルガン
gradient,a measure of how steep something is,n,勾配
methodology,system of practices or techniques to show how to do tasks,n,方法論
entity,something that is real,n,実体
tumor,a mass of abnormal cells that develops when cancerous cells divide and grow uncontrollably,n,腫瘍
fiber,"a thin, threadlike part of an animal hair or plant tissue; an artificial thread; body cells that form muscles and nerves; a food substance",n,繊維 ；ファイバー
paradigm,a set of ideas that are used for understanding or explaining something,n,パラダイム
psychology,the study of the mind and how it affects behaviour,n,心理学
infinite,without an end,adj,無限の
diverse,very different from each other,adj,多様な
diagnostic,to do with finding out the cause of a problem,adj,診断の
continuity,continued existence; fact of not stopping,n,継続性
variability,(statistics) degree scores depart from the mean,n,変動
outer,on or around something,adj,外側の；中心から遠くにある
notation,a set of written signs or shapes that are used in music or mathematics,n,表記法
probe,a system or piece of equipment that is used to get information; in medicine: a long thin instrument used for looking inside your body,verb,探査；プローブ，探査する
migration,the process by which people or animals move to another place,n,移動；移住
mathematical,concerning numbers and equations,adj,数学の
likelihood,the chance that something might happen,n,可能性
comparable,being similar in some way,adj,比較できる；同等な
magnitude,size or importance,n,大きさ
array,a large group of people or things; a regular order or arrangement; in maths: a series of figures.,n,配列
inclusion,act of including; person/thing that is included,n,包含
emission,a substance (e.g. gas) released into the air,n,放出；排出量
inference,an opinion that you form based on information you already have,n,推論
non,a prefix meaning 'not',prefix,～でない
consciousness,being awake,n,意識
simultaneously,at the same time as,adv,同時に
disturbance,a noise or something that stops you from continuing what you were doing,n,騒乱；妨害
hierarchy,a system for organizing people or things according to their importance,n,階層；ヒエラルキー
rotation,movement in a circle around a central point,n,回転
periodic,"happening regularly, but not frequently",adj,定期的な
validity,how true something is; in statistics: the ability of a test to measure what it is intended to measure.,n,妥当性
archaeology,"the study of ancient societies by looking at old tools, bones and buildings",n,考古学
atom,smallest bit that matter can be broken down into,n,原子
modification,"a small change to a machine, system, or plan",n,変更
partition,"a wall, screen, or piece of glass used to separate one area from another",n,分割
initiate,to start,verb,始める
autonomy,the power to make independent decisions,n,自治権；自立性
inhibit,to make it difficult for a process to start or continue in a normal way,verb,抑制する
consonant,a speech sound; any letter in the alphabet that is not a vowel.,adj,一致した
biology,the study of living things,n,生物学
scenario,an outline; an imagined sequence of events in a plan or project,n,シナリオ
conditional,depending (on),adj,条件付きの
contrary,different; opposite,adj,逆の，反対
discrete,separate; composed of distinct parts,adj,別々の
classroom,room in a school where lessons take place,n,教室
morphological,the study of form and structure,adj,形態素
lateral,on the side; moving sideways,adj,横の，側面
injection,a way to put (inject) a drug or another substance into your body,n,注射；注入
effectiveness,the degree of how well something works or is done,n,有効性
insect,"a small animal with 6 legs, such as a bee or ant",n,昆虫
logical,sensible; reasonable,adj,論理的な
calculus,a type of mathematics used for calculating such things as the slopes of curves,n,結石、微積分（数学）
longitudinal,going from the top to the bottom of something,adj,縦方向の
usage,the way something is used,n,使用
neutral,not involved; without strong feeling; without electrical charge; not acidic or akaline,adj,中立の
client,person paying for professional services,n,依頼人；顧客
marginal,very small; on the edge; not important,adj,縁の；余白の
characterization,the way someone or something is described,n,特徴付けること
ethical,morally right or wrong,adj,倫理的な
superior,better; higher quality,n,上の，上司
approximate,about; not exact but close,adj,約；大体の；おおよその
composer,a music writer,n,作曲家
singular,one,adj,単数の；並外れた
converge,to come together,verb,集中する
fetal,"concerning a fetus, an unborn baby",adj,胎児
comprehension,ability to understand,n,理解
implicit,not stated directly,adj,暗黙の
span,the amount of time something lasts,verb,期間，架かる；及ぶ
oxygen,"a gas in the air that has no smell or taste, and that all animals need to breathe",n,酸素
formulation,"the development of a plan, system, or proposal",n,形成；策定
dialect,a way of speaking a language that is used only in a particular area or by a particular group,n,方言
colony,country or settlement controlled by another country,n,植民地
immune,"not affected by something, such as a disease",adj,免疫
loop,a round shape,n,輪
algebra,mathematics using letters and symbols in place of some numbers,n,代数学
derivative,something that has developed or been obtained from something else,adj,派生物；派生語，派生した
appendix,additional information at the end of a document,n,付録；追加
overview,a description of the main features of something,n,概観
diffusion,the movement of light in many directions,n,拡散
specimen,"an example of something, especially of a plant or an animal; a small amount of blood or urine",n pl.,見本；標本
assert,To state or declare your ideas positively strongly,verb,断言する
widespread,happening or existing in many places; affecting many people,adj,広く行き渡っている
competence,ability to do something in a fully satisfactory way,n,能力
residual,"concerning the last little bit, after the rest has gone or ended",adj,残りの，残余
fusion,"when different styles, ideas or designs combine to form something new; in physics: when atoms combine to produce nuclear energy",n,融合
conservation,the management of land and water in ways that stop it from being damaged,n,保全
constrain,To make someone do something by strong persuasion or force,verb,強制する; 抑制する
differentiate,to see or show a difference between things,verb,区別する；差別化する
virtue,a good quality,n,美徳
amino,a substance that combines to form the structure of proteins,n,アミノ酸
partially,in part; in some degree; not wholly,adv,部分的に；不公平に
preliminary,before,adj,予備の
philosophical,concerning philosophy,adj,哲学的な
pre,a prefix meaning 'before',prefix,前
transaction,an exchange; in business this usually involves money,n,取引
prominent,being important or well known,adj,著名な
indigenous,"living or growing naturally in an area, not brought from somewhere else",adj,固有の；土着の
render,"to cause someone or something to behave in a particular way, or to enter into a particular condition",verb,〜の状態にする；与える
independently,in a manner being free from the control of another,adv,独立して
symbolic,representing a larger quality,adj,象徴的な；記号の
utilize,to use something practically for a particular purpose,verb,利用する
physiological,concerning how the body functions,adj,生理学的な
indirect,having a path that is not straight or direct,adj,間接的な
assembly,a group of machine parts forming a tool or machine,n,組み立て
calcium,"a substance important for human and animal health, particularly for making bones and teeth",n,カルシウム
strictly,restricted to something,adv,厳密に
psychiatric,concerning or used in psychiatry,adj,精神科の
unity,being in full agreement; being joined together,n,単一性；統一
critique,a review of the quality of a work,n,批評
differentiation,a discrimination between things as different and distinct,n,差別化；分化
closure,the act of closing something,n,終末
minimize,to make something as small as possible,verb,最小限にする
selective,choosing through thoughtful comparison,adj,選択的な
availability,being present and able to be used,n,可用性；利用可能
depict,to describe someone or something,verb,描写する
cue,a word or action during a stage play to tell an actor to speak,n,合図，合図を送る
parental,"concerning, or provided by, a parent",adj,親の
ritual,performed as part of a formal ceremony,n,儀式
fertility,the state of a female being able to produce young,n,肥沃；繁殖力
adjacent,"being close or near to a border, wall, or point",adj,隣接した
inhibition,the process whereby nerves can retard or prevent the functioning of an organ; the act of blocking or holding back,n,抑制；阻害
observer,someone whose job it is to watch or notice things,n,観察者；監視者
readily,in a quick and easy manner,adv,容易に
questionnaire,form used to get information from many people,n,アンケート
generalization,making a statement about a group from limited data,n,一般化；一般概念
qualitative,"concerning how good something is, rather than quantity",adj,質的な
tense,stretched tight and stiff,adj,緊張した；ピンと張った
locally,Concerning the area around where you are,adj,局所的に；地元で
transcription,something written,n,転写
nutrient,"a chemical, food, that animals and plants need to live, develop, and be healthy",n,栄養素
reinforce,to strengthen,verb,強化する；補強する
simulate,"to look, feel, or behave like something; to copy",verb,ふりをする；シミュレーションをする
statistically,with respect to statistics,adv,統計的に
dense,very thick and difficult to see/get through,adj,濃い；密集した
ecology,"the study of plants, animals, people, and their environments",n,生態学
null,having no impact,adj,無効の
terminal,the end of something,n,終点；終着駅；ターミナル
informal,not official; not done by the rules,adj,非公式の
discharge,to release someone or something,verb,発砲；排出；解任，排出する；放電する
adaptive,able to adjust to new conditions,adj,適応性のある
ecological,"concerning the environment, plants, or animals",adj,生態学的な
protocol,a set of rules; computers use protocol so they can exchange information,n,外交儀礼；議定書；協定
progressive,believing in modern ideas about social change,adj,進歩的な
aesthetic,concerning the sense of artistic beauty,adj,美的な
agriculture,the science of farming,n,農業
exploit,to use something or someone selfishly or unethically,verb,不当に利用する；搾取する
practitioner,"a person working in a profession, such as medicine",n,（専門職・技術などの）開業者；（特に）開業医
occupation,a career or regular job,n,職業；占有
equivalence,when something is equal to something else,n,同価値
pragmatic,"dealing with problems in a reasonable, practical manner",adj,実用的な
productivity,rate at which something is made or that people work,n,多産；生産性
arrow,a symbol to give direction; a long piece of wood shot from a bow,n,矢印
reproduce,to make a copy of something,verb,再生する；繁殖する
commentary,explanation or discussion of a written work/event,n,論評；注釈；記録
residue,left over after part or most is taken away,n,剰余；残留物
unstable,likely to move from its position or fall,adj,不安定な
consensus,a decision that is shared by most of the members of a group,n pl.,合意；コンセンサス
simplify,"to make something easier to do, use or understand",verb,簡素化する
radius,a given area or a range around a certain point; a line from the center of a circle to its edge,n,半径
artificial,not made by people; not created by nature,adj,人工の
harvest,the time of year to bring crops in from the fields,n,収穫
suicide,the act of purposely killing yourself because you no longer wish to live,n,自殺
pi,the ratio of the circumference to the diameter of a circle; approximately equal to 3.14,n,パイ
monkey,"an animal related to humans, which lives in trees",n,サル
habitat,"the natural place, or type of place, where a plant or animal lives",n,生息地
assignment,A duty that you are give to do (especially in the armed forces),n,任務； 業務； 職
replicate,"to repeat something, such as an experiment, study or process",verb,複製する
mechanical,using or having to do with machines,adj,機械的な
disability,a condition that limits a person's ability to do something,n,身体障害
cattle,cows or bulls on a farm,n,畜牛
purely,for no other reason; only and completely,adv,純粋に
contradiction,the act of saying that something is not true or very different,n,矛盾；否定
scatter,to make things separate and go in different directions,verb,まき散らす
problematic,being difficult to deal with or fix,adj,問題のある
correction,a change to make something right,n,訂正
linguistics,the study of human languages,n pl.,言語学
hormone,a chemical produced by the body to control some function,n,ホルモン
primitive,being of an early time period in the past,adj,原始的な
ethics,"the moral principles, standards, and rules for deciding what is right and wrong",n pl.,倫理学；道徳
accumulation,The act of getting or becoming bigger or more over time,n,蓄積
static,being unchangeable or unmovable,adj,静的な
consent,to agree or allow to do something,verb,承諾，同意する
substrate,a substance which a catalyst or enzyme has an effect on,verb,基板
straightforward,easy to do or understand; not complicated,adj,まっすぐな；率直な；正直な
discrimination,the ability to recognize the difference between things; treating different groups of people unfairly,n,差別；識別
separately,not with another person or thing,adv,別々に
randomize,to arrange in a random order,verb,無作為化する
sensory,"referring to the five senses (hearing, sight, smell, taste and touch)",adj,感覚の
confine,to keep something or someone within a limited area so it cannot escape,verb,閉じ込める
mineral,a substance naturally formed in the ground,n,鉱物
peripheral,not connected to the main or important part of something,adj,周辺の
spontaneous,"something that happens on its own, seemingly without cause",adj,自発的な
reliability,a quality that makes someone or something dependable and deserving of trust,n,信頼性
clone,to make an exact copy of a living thing,verb,クローンを作る
orient,to focus your attention or efforts on something,verb,適応させる；正しい方向に置く
elaborate,to be made or done with great care or with much detail,adj,手の込んだ
nominal,in name or thought but not reality,adj,名ばかりの
insert,to put something in something,verb,挿入する
reproduction,the process that produces the next generation,n,再生；生殖作用
dominance,"the state of being more powerful, successful, or important than others",n,支配
allocation,The distribution of items set apart according to a plan or purpose,n,割り当て
lung,an organ used to breathe,n,肺
productive,doing a lot of work and achieving a lot,adj,生産的な
decay,to be slowly broken down by natural processes,verb,腐敗；減衰，腐敗する；崩壊する
conscious,aware of what is going on around you; not knocked out,adj,意識している
thickness,the distance between the opposite edges of a thing,n,厚さ
transmit,to broadcast by using electrical signals to a radio or TV,verb,送信する
conceive,"to think of, or create, something new (e.g. idea, child)",verb,思い付く；妊娠する
offspring,the child of a person or the young of a plant or animal,n,子孫
resemble,to be similar to someone or something in looks or manner,verb,似ている
circulation,the movement of blood through the body,n,循環
correctly,in an accurate or correct manner,adv,正しく
necessity,something that you must have or do,n,必要性; 必需品
metaphor,a figure of speech based on analogy,n,隠喩
tract,a large stretch of land,n,器官系；土地
liver,a large organ in the body that helps to absorb food and clean the blood,n,肝臓
subjective,"the use of personal feelings and opinions, rather than facts",adj,主観的な
accumulate,To gather or acquire so that you have more of it,verb,蓄積する
rejection,the act of refusing to consider or believe something,n,拒絶
maximize,"to increase, or become as large or great as possible",verb,最大化する
replacement,"the act of putting something new in the place of something that is old, broken or missing",n,交換
amongst,in or through a group,prep,～の間に；～の中の
complication,action making something harder to do something,n,合併症
plural,refers to more than one person or thing,adj,複数の
valve,"a device along a pipe that can either open and allow something to flow, or close and block it",n,弁；バルブ
absorption,"process of being absorbed (e.g. liquid, attention)",n,吸収
monetary,"concerning money, often referring to a country's economic system",adj,金銭的な
thermal,with reference to some source of heat,adj,熱の
likewise,"in the same way, in addition to",adj,同様に
tolerance,"a willingness to let people do, say or believe what they wish, without judging or challenging them",n,耐性
articulate,to express something clearly using language,verb,考えをはっきり言う
donor,a person or group that gives gifts or money to help support an organization or cause,n,寄贈者
flux,a state of flow and change,n,流れ
mobility,the ability to move,n,動きやすさ；移動性
manipulation,the act of controlling something or someone,n,操作
elevate,to make something higher,verb,高くあげる
nationalism,"The spirit of love of your country, e.g. leading to war",n,国家主義
analogy,comparison of things based on their similarity,n,類似；類推
adverse,negative or harmful,adj,逆の；不利な
nitrogen,a colorless chemical element without a smell that forms most of the earth's atmosphere,n,窒素
plausible,being reasonable and possibly true,adj,もっともらしい
vein,one of the little tubes that return blood from the body to the heart,n,静脈
controversy,strong public disagreement about something,n,論争
wheat,a kind of grain that is used to make flour for bread,n,小麦
rewrite,"to write again to improve, or correct errors",verb,書き直す
manual,needing the use of physical strength or work; a book of information or instructions,adj,手引書；マニュアル
strategic,concerned with strategy; well thought out,adj,戦略的な
peasant,"a person of low social status, usually who works on a farm",n,小作人
absorb,to take in a liquid; soak up,verb,吸収する
sketch,a drawing made quickly that lacks detail,n,スケッチ
justification,a reason or fact that explains why something happens or exists,n,正当化
lifetime,the time between birth and death,n,生涯
binary,"having two parts; using only 2 numbers, 1 and 0",adj,２つの；２進法の
definite,Not likely to change; clearly decided,adj,明確な；限定的な
contour,the shape of the outside edge of something,n,輪郭
execution,killing a person as a (usually legal) punishment,n,処刑
rhythm,a pattern of sound and beats in music,n,リズム
ultimate,"happening or coming at the end of process, final",adj,究極の; 根本的な
dictionary,a book with the spellings and meanings of many words,n,辞書
constitution,a law determining the fundamental political principles of a government,n,憲法；構成
acceleration,increase in the speed or rate of something,n,加速
undermine,to weaken or destroy something secretly and usually slowly,verb,弱体化させる
disadvantage,a negative point; a downside; difficulty,n,不利な点
myth,a popular belief that is false or unsupported by fact,n,神話
strand,something that is plaited or twisted as a rope-like length,n,糸
unify,to join or bring together,verb,統一する
